Key,Id,English(en),Chinese (Simplified)(zh-Hans)
NexusVesture_000_AbyssalHeart,239340314624,,
NexusVesture_000_CogniThread,241311637504,,
NexusVesture_000_ImprintStep,244067295232,,
NexusVesture_000_TangibleNexus,246344802304,,
NexusVesture_000_VolitionVein,248433565696,,
NexusVesture_001_AbyssalHeart,250778181632,,
NexusVesture_001_CogniThread,259607191552,,
NexusVesture_001_ImprintStep,263226875904,,
NexusVesture_001_TangibleNexus,268792717312,,
NexusVesture_001_VolitionVein,270873092096,,
NexusVesture_002_AbyssalHeart,340162994176,,
NexusVesture_002_CogniThread,343551991808,,
NexusVesture_002_ImprintStep,345565257728,,
NexusVesture_002_TangibleNexus,347947622400,,
NexusVesture_002_VolitionVein,349830864896,,
NexusVesture_003_AbyssalHeart,351873490944,,
NexusVesture_003_CogniThread,357447720960,,
NexusVesture_003_ImprintStep,361067405312,,
NexusVesture_003_TangibleNexus,363151974400,,
NexusVesture_003_VolitionVein,366503223296,,
NexusVesture_004_AbyssalHeart,368180944896,,
NexusVesture_004_CogniThread,370731081728,,
NexusVesture_004_ImprintStep,372983422976,,
NexusVesture_004_TangibleNexus,375000883200,,
NexusVesture_004_VolitionVein,378146611200,,
NexusVesture_005_AbyssalHeart,379761418240,,
NexusVesture_005_CogniThread,381804044288,,
NexusVesture_005_ImprintStep,384018636800,,
NexusVesture_005_TangibleNexus,386275172352,,
NexusVesture_005_VolitionVein,388380712960,,
